RS:1000:rear_sus,FS:1000:front_sus,RB:250:test2,FB:250:test3
485,616
0.89,-9.68,1.89,0.00,0.00,0.01,488,612,0.0,0.0
0.92,-9.77,1.81,-0.02,-0.00,0.02,488,611,0.0,0.0
0.87,-9.78,1.88,-0.00,0.00,0.03,488,609,0.0,0.0
0.89,-9.90,1.90,0.00,0.00,0.04,489,610,0.0,0.0
0.88,-9.87,1.89,0.01,0.01,0.03,488,609,0.0,0.0
0.84,-9.83,1.90,0.02,-0.00,0.03,488,607,0.0,0.0
0.84,-9.73,1.85,0.02,0.01,0.04,488,608,0.0,0.0
0.88,-9.72,1.84,-0.02,-0.01,0.00,488,627,0.0,0.0
0.98,-9.75,1.80,0.00,-0.01,0.04,488,616,0.0,0.0
0.89,-9.86,1.90,-0.01,-0.01,0.03,488,614,0.0,0.0
0.79,-9.98,1.89,0.01,0.01,0.03,489,613,0.0,0.0
0.75,-9.92,1.90,0.01,-0.00,0.04,487,612,0.0,0.0
0.78,-9.84,1.86,0.01,0.01,0.04,488,611,0.0,0.0
0.81,-9.80,1.81,0.01,-0.01,0.04,488,606,0.0,0.0
0.83,-9.76,1.78,0.01,0.01,0.04,489,606,0.0,0.0
0.83,-9.81,1.80,-0.01,0.00,0.01,489,608,0.0,0.0
0.77,-9.88,1.82,-0.00,0.00,0.04,489,607,0.0,0.0
0.75,-9.93,1.84,0.01,0.01,0.03,488,628,0.0,0.0
0.67,-9.91,1.86,0.01,0.01,0.02,488,619,0.0,0.0
0.66,-9.91,1.84,0.00,-0.00,0.03,487,615,0.0,0.0
0.72,-9.83,1.80,0.01,0.01,0.04,488,611,0.0,0.0
0.77,-9.78,1.73,0.00,0.01,0.03,488,611,0.0,0.0
0.70,-9.76,1.81,-0.00,0.02,0.02,488,610,0.0,0.0
0.65,-9.85,1.81,-0.01,0.01,0.01,488,608,0.0,0.0
0.65,-9.91,1.85,0.00,0.00,0.03,488,608,0.0,0.0
0.61,-9.95,1.89,0.01,0.01,0.02,488,609,0.0,0.0
0.62,-9.95,1.79,0.01,0.03,0.03,487,606,0.0,0.0
0.67,-9.83,1.81,0.01,0.02,0.04,488,629,0.0,0.0
0.65,-9.80,1.77,0.02,0.02,0.03,488,618,0.0,0.0
0.56,-9.81,1.80,0.01,0.01,0.03,489,616,0.0,0.0
0.56,-9.88,1.86,-0.01,0.04,0.02,489,614,0.0,0.0
0.57,-9.93,1.84,0.02,0.01,0.02,489,613,0.0,0.0
0.55,-9.89,1.81,0.01,0.02,0.02,489,611,0.0,0.0
0.57,-9.87,1.79,0.01,0.02,0.02,488,608,0.0,0.0
0.54,-9.76,1.79,0.02,0.02,0.02,488,609,0.0,0.0
0.45,-9.78,1.78,0.01,0.02,0.01,488,608,0.0,0.0
0.48,-9.86,1.79,-0.00,0.01,0.01,488,607,0.0,0.0
0.54,-9.90,1.82,0.00,0.01,0.02,488,626,0.0,0.0
0.57,-9.92,1.86,-0.00,0.02,0.01,488,637,0.0,0.0
0.53,-9.87,1.86,-0.00,0.03,0.00,489,625,0.0,0.0
0.45,-9.85,1.82,0.01,0.02,0.02,489,620,0.0,0.0
0.50,-9.78,1.87,0.00,0.03,0.02,488,616,0.0,0.0
0.49,-9.87,1.81,-0.01,0.03,0.01,489,615,0.0,0.0
