RS:1000:rear_sus,FS:1000:front_sus,RB:250:test2,FB:250:test3
484,657
-6.92,-7.03,-0.44,-0.01,0.01,0.00,484,617,0.0,0.0
-6.93,-7.06,-0.46,0.01,0.01,0.01,484,636,0.0,0.0
-6.91,-7.08,-0.40,0.02,-0.01,0.00,484,625,0.0,0.0
-6.87,-7.07,-0.47,0.00,-0.02,0.00,484,621,0.0,0.0
-6.88,-7.05,-0.44,-0.00,-0.00,0.02,484,619,0.0,0.0
-6.92,-7.05,-0.45,0.00,-0.00,0.00,484,616,0.0,0.0
-6.93,-7.08,-0.47,0.02,0.01,-0.00,484,613,0.0,0.0
-6.90,-7.09,-0.46,0.00,-0.00,0.01,484,611,0.0,0.0
-6.88,-7.06,-0.45,0.02,0.01,0.02,485,610,0.0,0.0
-6.91,-7.06,-0.45,0.01,-0.01,0.00,484,609,0.0,0.0
-6.90,-7.13,-0.42,-0.00,-0.00,-0.00,484,609,0.0,0.0
-6.89,-7.05,-0.49,0.01,-0.00,-0.01,484,608,0.0,0.0
-6.92,-7.08,-0.47,0.01,-0.00,0.00,484,605,0.0,0.0
-6.97,-7.05,-0.46,0.02,0.01,-0.01,484,606,0.0,0.0
-6.89,-7.09,-0.46,0.01,0.02,0.01,484,608,0.0,0.0
-6.91,-7.09,-0.42,0.02,-0.01,-0.01,484,606,0.0,0.0
-6.91,-7.03,-0.46,0.00,0.01,-0.02,484,608,0.0,0.0
-6.87,-7.04,-0.44,-0.00,0.01,0.01,484,607,0.0,0.0
-6.90,-7.08,-0.43,0.01,-0.01,0.02,484,605,0.0,0.0
-6.92,-7.07,-0.40,0.01,-0.01,0.01,484,605,0.0,0.0
-6.92,-7.02,-0.43,0.02,0.01,0.00,484,607,0.0,0.0
-6.86,-7.04,-0.43,-0.01,-0.00,-0.01,484,605,0.0,0.0
-6.92,-7.06,-0.45,0.01,-0.00,0.01,484,604,0.0,0.0
-6.95,-7.09,-0.43,0.01,0.01,0.02,484,603,0.0,0.0
-6.89,-7.12,-0.40,0.00,-0.01,0.00,485,603,0.0,0.0
-6.92,-7.08,-0.40,0.02,0.01,-0.01,484,604,0.0,0.0
-6.95,-7.08,-0.45,0.02,0.01,0.01,484,604,0.0,0.0
-6.90,-7.12,-0.43,-0.01,-0.02,-0.00,484,603,0.0,0.0
-6.91,-7.02,-0.45,-0.01,0.00,0.01,484,604,0.0,0.0
-6.92,-7.05,-0.45,0.01,0.00,0.01,484,607,0.0,0.0
-6.94,-7.09,-0.43,0.01,-0.00,0.01,484,605,0.0,0.0
-6.90,-7.08,-0.41,0.00,-0.00,0.01,484,604,0.0,0.0
-6.90,-7.08,-0.46,-0.01,-0.01,0.00,484,607,0.0,0.0
-6.89,-7.12,-0.41,-0.00,-0.00,0.01,484,607,0.0,0.0
-6.94,-7.11,-0.42,-0.01,-0.01,-0.00,484,648,0.0,0.0
-6.90,-7.08,-0.44,-0.01,0.01,0.01,485,629,0.0,0.0
-6.94,-7.09,-0.43,-0.01,-0.01,-0.01,484,622,0.0,0.0
